unit,meaning,ex,end
ism,the theory of,"criticism, optimism, capitalism",1
ist,person,"conformist, copyist, cyclist",0
ize,"verb meaning to do/make something   formalize, jeopardize, legalize, modernize, emphasize, hospitalize, industrialize, computerize",,0
gram,a written/drawn record of,"cardiogram, telegram",1
graph,a recording instrument of,"monograph, phonograph, seismograph",1
logue,speech,"monologue, dialogue, travelogue",0
logy,the study of,"phraseology, biology, dermatology",1
meter,measuring-device,"spectrometer, geometry, kilometer, parameter, perimeter",0
oid,resembling,"humanoid, spheroid, trapezoid",1
phile,one that loves/has a strong affinity for,"audiophile, Francophile",1
phobe,one that fears,"agoraphobe, agoraphobia, xenophobe, xenophobia",1
phone, a device that pertains to the sound of,"homophone, geophone, telephone, Francophone",0
log,to speak regarding,"monologue, dialogue, travelogue",1
metry,the act of measuring,"spectrometer, geometry, kilometer, parameter, perimeter",1
phobia,an intense fear of,"agoraphobe, agoraphobia, xenophobe, xenophobia",1
